手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,00878,-857714.8724499999,-811204.8724499999,273065.41440999997,30.76,0,0,273065.41440999997,#DIV/0!,0.10612128543759092,,,,
1,Fri Oct 07 2022 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,16.12,80600,114.855,68.913,0,-80668.913,5000,,,,,,,,,,,,,,,
2,Thu Oct 13 2022 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,15.63,78150,111.36375000000001,66.81825,0,-78216.81825,10000,,除權除息區,,,,,,,,,,,,,
3,Thu Oct 20 2022 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,15.35,76750,109.36875,65.62125,0,-76815.62125,15000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Mon Nov 28 2022 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,16.35,32700,46.597500000000004,27.9585,0,-32727.9585,17000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Tue Dec 13 2022 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,16.4,32800,46.74,28.044,0,-32828.044,19000,,2022,Wed Nov 16 2022 00:00:00 GMT+0800 (Taiwan Standard Time),16.77,Mon Dec 19 2022 00:00:00 GMT+0800 (Taiwan Standard Time),0.28,0,0.0191,16.49,4200,0,4200,0,15000,0.016696481812760882
6,Mon Dec 19 2022 00:00:00 GMT+0800 (Taiwan Standard Time),15000,買,16.25,243750,347.34375,208.40625,0,-243958.40625,34000,,2023,Thu Feb 16 2023 00:00:00 GMT+0800 (Taiwan Standard Time),17.16,Wed Mar 22 2023 00:00:00 GMT+0800 (Taiwan Standard Time),0.27,0,0.0191,16.89,13578,0,13578,0,50292,0.015733292397572998
7,Tue Dec 20 2022 00:00:00 GMT+0800 (Taiwan Standard Time),10000,買,16.09,160900,229.2825,137.5695,0,-161037.5695,44000,,2023,Wed May 17 2023 00:00:00 GMT+0800 (Taiwan Standard Time),17.97,Mon Jun 12 2023 00:00:00 GMT+0800 (Taiwan Standard Time),0.27,0,0.0191,17.7,14276,0,14276,0,52875,0.015024778623684603
8,Fri Dec 23 2022 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,16.1,48300,68.8275,41.2965,0,-48341.2965,47000,,2023,Wed Aug 16 2023 00:00:00 GMT+0800 (Taiwan Standard Time),21.44,Mon Sep 11 2023 00:00:00 GMT+0800 (Taiwan Standard Time),0.35,0,0.0191,21.09,8103,0,8103,0,23152,0.016324223947642574
9,Thu Dec 29 2022 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,16.08,48240,68.742,41.245200000000004,0,-48281.2452,50000,,2023,Thu Nov 16 2023 00:00:00 GMT+0800 (Taiwan Standard Time),20.69,Tue Dec 12 2023 00:00:00 GMT+0800 (Taiwan Standard Time),0.35,0,0.0191,20.34,6353,0,6353,0,18152,0.016915852195764417
10,Mon Feb 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),105,買,17.09,1794,1,1,0,-1795,50105,,,,,,,,,,,,,,,
11,Mon Feb 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),187,買,17.1,3197,0,0,0,-3197,50292,,,,,,,,,,,,,,,
12,Thu Feb 23 2023 00:00:00 GMT+0800 (Taiwan Standard Time),24,買,17.16,411,0,0,0,-411,50316,,,,,,,,,,,,,,,
13,Thu Feb 23 2023 00:00:00 GMT+0800 (Taiwan Standard Time),267,買,17.17,4584,0,0,0,-4584,50583,,,,,,,,,,,,,,,
14,Fri Mar 03 2023 00:00:00 GMT+0800 (Taiwan Standard Time),16,買,17.12,273,0,0,0,-273,50599,,,,,,,,,,,,,,,
15,Fri Mar 03 2023 00:00:00 GMT+0800 (Taiwan Standard Time),275,買,17.13,4710,0,0,0,-4710,50874,,,,,,,,,,,,,,,
16,Mon Mar 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),226,買,16.99,3839,0,0,0,-3839,51100,,,,,,,,,,,,,,,
17,Mon Mar 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),65,買,17,1105,0,0,0,-1105,51165,,,,,,,,,,,,,,,
18,Thu Mar 23 2023 00:00:00 GMT+0800 (Taiwan Standard Time),224,買,17.16,3843,0,0,0,-3843,51389,,,,,,,,,,,,,,,
19,Thu Mar 23 2023 00:00:00 GMT+0800 (Taiwan Standard Time),67,買,17.17,1150,0,0,0,-1150,51456,,,,,,,,,,,,,,,
20,Thu Apr 06 2023 00:00:00 GMT+0800 (Taiwan Standard Time),214,買,17.33,3708,0,0,0,-3708,51670,,,,,,,,,,,,,,,
21,Thu Apr 06 2023 00:00:00 GMT+0800 (Taiwan Standard Time),74,買,17.34,1283,0,0,0,-1283,51744,,,,,,,,,,,,,,,
22,Thu Apr 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),103,買,17.58,1810,0,0,0,-1810,51847,,,,,,,,,,,,,,,
23,Thu Apr 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),181,買,17.59,3183,0,0,0,-3183,52028,,,,,,,,,,,,,,,
24,Mon Apr 24 2023 00:00:00 GMT+0800 (Taiwan Standard Time),251,買,17.51,4395,0,0,0,-4395,52279,,,,,,,,,,,,,,,
25,Mon Apr 24 2023 00:00:00 GMT+0800 (Taiwan Standard Time),34,買,17.52,595,0,0,0,-595,52313,,,,,,,,,,,,,,,
26,Wed May 03 2023 00:00:00 GMT+0800 (Taiwan Standard Time),249,買,17.69,4404,0,0,0,-4404,52562,,,,,,,,,,,,,,,
27,Wed May 03 2023 00:00:00 GMT+0800 (Taiwan Standard Time),33,買,17.7,584,0,0,0,-584,52595,,,,,,,,,,,,,,,
28,Mon May 15 2023 00:00:00 GMT+0800 (Taiwan Standard Time),232,買,17.8,4129,0,0,0,-4129,52827,,,,,,,,,,,,,,,
29,Mon May 15 2023 00:00:00 GMT+0800 (Taiwan Standard Time),48,買,17.81,854,0,0,0,-854,52875,,,,,,,,,,,,,,,
30,Tue May 23 2023 00:00:00 GMT+0800 (Taiwan Standard Time),158,買,18,2844,0,0,0,-2844,53033,,,,,,,,,,,,,,,
31,Tue May 23 2023 00:00:00 GMT+0800 (Taiwan Standard Time),119,買,18.01,2143,0,0,0,-2143,53152,,,,,,,,,,,,,,,
32,Tue Jun 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),-10000,賣,19.1,191000,272.175,163.305,191,190645.695,43152,,,,,,,,,,,,,,,
33,Thu Jun 15 2023 00:00:00 GMT+0800 (Taiwan Standard Time),-10000,賣,19.4,194000,276.45,165.86999999999998,194,193640.13,33152,,,,,,,,,,,,,,,
34,Fri Jul 14 2023 00:00:00 GMT+0800 (Taiwan Standard Time),-10000,賣,20.98,209800,298.96500000000003,179.37900000000002,209.8,209410.82100000003,23152,,,,,,,,,,,,,,,
35,Mon Oct 02 2023 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,20.8,104000,148.20000000000002,88.92,104,103807.08,18152,,,,,,,,,,,,,,,
36,Thu Dec 14 2023 00:00:00 GMT+0800 (Taiwan Standard Time),-10000,賣,21.07,210700,300.2475,180.14849999999998,210.70000000000002,210309.15149999998,8152,,,,,,,,,,,,,,,
37,Thu Dec 14 2023 00:00:00 GMT+0800 (Taiwan Standard Time),-152,賣,21.07,3202.64,20,20,3.20264,3179.43736,8000,,,,,,,,,,,,,,,
38,Thu Jan 25 2024 00:00:00 GMT+0800 (Taiwan Standard Time),-8000,賣,21.7,173600,247.38,148.428,173.6,173277.97199999998,0,,,,,,,,,,,,,,,
