手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,1102,-3546943.7234299993,-3078903.7234299993,-2726666.8514299993,34,73000,2472431.89,-254234.9614299992,42.73426172807228,-0.023892396877777968,,,,
1,Fri Dec 23 2022 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,40.85,122550,174.63375000000002,104.78025000000001,0,-122654.78025,3000,,,,,,,,,,,,,,,
2,Tue Jan 03 2023 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,40.65,121950,173.77875,104.26725,0,-122054.26725,6000,,除權除息區,,,,,,,,,,,,,
3,Wed Feb 01 2023 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,42.55,42550,60.63375,36.38025,0,-42586.38025,7000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Mon Feb 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),263,買,42.07,11064,0,0,0,-11064,7263,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Mon Feb 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),69,買,42.08,2903,0,0,0,-2903,7332,,2023,Thu Jul 20 2023 00:00:00 GMT+0800 (Taiwan Standard Time),44.8,Thu Aug 17 2023 00:00:00 GMT+0800 (Taiwan Standard Time),2.29958798,0,0.0211,42.5,133859,2824,131025,0,58210,0.050243346135911846
6,Thu Feb 23 2023 00:00:00 GMT+0800 (Taiwan Standard Time),136,買,44.43,6042,0,0,0,-6042,7468,,2024,Thu Jul 18 2024 00:00:00 GMT+0800 (Taiwan Standard Time),44.2,Fri Aug 16 2024 00:00:00 GMT+0800 (Taiwan Standard Time),2.1,0,0.0211,42.1,161700,3412,158278,0,77000,0.04650584709408239
7,Thu Feb 23 2023 00:00:00 GMT+0800 (Taiwan Standard Time),179,買,44.44,7954,0,0,0,-7954,7647,,2025,Thu Jul 17 2025 00:00:00 GMT+0800 (Taiwan Standard Time),40,Fri Aug 15 2025 00:00:00 GMT+0800 (Taiwan Standard Time),2.2,0,0.0211,37.8,182600,3853,178737,0,83000,0.05383644578313253
8,Fri Mar 03 2023 00:00:00 GMT+0800 (Taiwan Standard Time),293,買,44.27,12971,0,0,0,-12971,7940,,2026,,,,2.3,0,0.0211,-2.3,0,0,0,0,#N/A,#N/A
9,Fri Mar 03 2023 00:00:00 GMT+0800 (Taiwan Standard Time),23,買,44.28,1018,0,0,0,-1018,7963,,,,,,,,,,,,,,,
10,Mon Mar 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),172,買,42.65,7335,0,0,0,-7335,8135,,,,,,,,,,,,,,,
11,Mon Mar 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),156,買,42.66,6654,0,0,0,-6654,8291,,,,,,,,,,,,,,,
12,Thu Mar 23 2023 00:00:00 GMT+0800 (Taiwan Standard Time),195,買,43.03,8390,0,0,0,-8390,8486,,,,,,,,,,,,,,,
