手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,1402,-2181263.387,-2007880.387,-1908963.1885000002,25.65,66000,1686373.8705,-222589.3180000002,31.612512855072467,-0.05102302622567244,,,,
1,Fri Jul 07 2023 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,32.6,65200,92.91,55.745999999999995,0,-65255.746,2000,,,,,,,,,,,,,,,
2,Wed Jul 12 2023 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,32.3,161500,230.13750000000002,138.0825,0,-161638.0825,7000,,除權除息區,,,,,,,,,,,,,
3,Fri Jul 14 2023 00:00:00 GMT+0800 (Taiwan Standard Time),8000,買,32.2,257600.00000000003,367.08000000000004,220.24800000000002,0,-257820.24800000002,15000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Mon Jul 17 2023 00:00:00 GMT+0800 (Taiwan Standard Time),4000,買,30.45,121800,173.565,104.139,0,-121904.139,19000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Mon Jul 17 2023 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,30.4,91200,129.96,77.976,0,-91277.976,22000,,2023,Mon Jul 17 2023 00:00:00 GMT+0800 (Taiwan Standard Time),32.3,Fri Aug 11 2023 00:00:00 GMT+0800 (Taiwan Standard Time),1.35,0,0.0211,30.95,20250,427,19813,0,15000,0.0408937048503612
6,Mon Jul 17 2023 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,30.4,30400,43.32,25.992,0,-30425.992,23000,,2024,Thu Jul 18 2024 00:00:00 GMT+0800 (Taiwan Standard Time),37.3,Wed Aug 14 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1.35,0,0.0211,35.95,51300,1082,50208,0,38000,0.035422604769295894
7,Wed Jul 19 2023 00:00:00 GMT+0800 (Taiwan Standard Time),12000,買,29.9,358800,511.29,306.774,0,-359106.774,35000,,2025,Tue Jul 15 2025 00:00:00 GMT+0800 (Taiwan Standard Time),32.35,Wed Aug 13 2025 00:00:00 GMT+0800 (Taiwan Standard Time),1.6,0,0.0211,30.75,105600,2228,103362,0,66000,0.04841084726710693
8,Wed Aug 23 2023 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,28.5,28500,40.612500000000004,24.367500000000003,0,-28524.3675,36000,,2026,,,,1.25,0,0.0211,-1.25,0,0,0,0,#N/A,#N/A
9,Fri Feb 02 2024 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,31,155000,220.875,132.525,0,-155132.525,41000,,,,,,,,,,,,,,,
10,Fri Mar 15 2024 00:00:00 GMT+0800 (Taiwan Standard Time),-3000,賣,33.1,99300,141.5025,84.9015,297.90000000000003,98917.1985,38000,,,,,,,,,,,,,,,
11,Fri Jul 19 2024 00:00:00 GMT+0800 (Taiwan Standard Time),8000,買,32.75,262000,373.35,224.01000000000002,0,-262224.01,46000,,,,,,,,,,,,,,,
12,Fri Jul 19 2024 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,32.85,65700,93.6225,56.1735,0,-65756.1735,48000,,,,,,,,,,,,,,,
13,Tue Jul 30 2024 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,33.4,100200,142.785,85.67099999999999,0,-100285.671,51000,,,,,,,,,,,,,,,
14,Wed Jul 31 2024 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,33.9,101700,144.9225,86.9535,0,-101786.9535,54000,,,,,,,,,,,,,,,
15,Mon Dec 30 2024 00:00:00 GMT+0800 (Taiwan Standard Time),12000,買,31.65,379800,541.215,324.729,0,-380124.729,66000,,,,,,,,,,,,,,,
