手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2352,-2792104.150459999,-2622015.150459999,-1883595.0154599992,28.9,44160,1271304.15648,-612290.8589799993,36.73821250605262,-0.07309790107926602,,,,
1,Mon Feb 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),160,買,29.04,4646.4,0,0,0,-4646.4,160,,,,,,,,,,,,,,,
2,Mon Feb 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),149,買,29.05,4328.45,0,0,0,-4328.45,309,,除權除息區,,,,,,,,,,,,,
3,Thu Feb 23 2023 00:00:00 GMT+0800 (Taiwan Standard Time),130,買,29.97,3896.1,0,0,0,-3896.1,439,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Thu Feb 23 2023 00:00:00 GMT+0800 (Taiwan Standard Time),170,買,29.98,5096,0,0,0,-5096,609,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Fri Mar 03 2023 00:00:00 GMT+0800 (Taiwan Standard Time),129,買,30.37,3917.73,0,0,0,-3917.73,738,,2023,Thu Jul 20 2023 00:00:00 GMT+0800 (Taiwan Standard Time),59.7,Fri Aug 18 2023 00:00:00 GMT+0800 (Taiwan Standard Time),2,0,0.0211,57.7,38096,804,37292,0,19048,0.032793816485479334
6,Fri Mar 03 2023 00:00:00 GMT+0800 (Taiwan Standard Time),167,買,30.38,5073,0,0,0,-5073,905,,2024,Fri Jul 26 2024 00:00:00 GMT+0800 (Taiwan Standard Time),37.8,Fri Aug 23 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1.2,0,0.0211,36.6,62400,1317,61083,0,52000,0.031076007326007328
7,Wed Mar 08 2023 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,30.25,151250,215.53125,129.31875,0,-151379.31875,5905,,2025,Thu Jul 24 2025 00:00:00 GMT+0800 (Taiwan Standard Time),26.7,Fri Aug 22 2025 00:00:00 GMT+0800 (Taiwan Standard Time),1.11,0,0.0211,25.59,73260,1546,71714,0,66000,0.04069572125751901
8,Mon Mar 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),293,買,30.5,8936,0,0,0,-8936,6198,,2026,,,,1,0,0.0211,-1,0,0,0,0,#N/A,#N/A
9,Thu Mar 23 2023 00:00:00 GMT+0800 (Taiwan Standard Time),266,買,30.72,8171.5199999999995,0,0,0,-8171.5199999999995,6464,,,,,,,,,,,,,,,
