手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2362,-4864605.68475,-4495486.68475,-1911088.0967499996,44.05,73000,3203253.66925,1292165.5725000002,40.87903936764706,0.06640649089764851,,,,
1,Thu May 19 2022 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,33.75,33750,48.09375,28.85625,0,-33778.85625,1000,,,,,,,,,,,,,,,
2,Thu Jun 23 2022 00:00:00 GMT+0800 (Taiwan Standard Time),4000,買,33.15,132600,188.955,113.373,0,-132713.373,5000,,除權除息區,,,,,,,,,,,,,
3,Tue Jun 28 2022 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,31.75,31750,45.24375,27.14625,0,-31777.14625,6000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Mon Aug 29 2022 00:00:00 GMT+0800 (Taiwan Standard Time),4000,買,32.5,130000,185.25,111.14999999999999,0,-130111.15,10000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Tue Aug 30 2022 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,33.5,167500,238.6875,143.2125,0,-167643.2125,15000,,2022,Fri Jun 24 2022 00:00:00 GMT+0800 (Taiwan Standard Time),32.75,Fri Jul 22 2022 00:00:00 GMT+0800 (Taiwan Standard Time),2.1,0,0.0211,30.65,10500,0,10490,0,5000,0.06406106870229007
6,Thu Sep 01 2022 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,34.65,173250,246.88125000000002,148.12875,0,-173398.12875,20000,,2023,Tue Jun 20 2023 00:00:00 GMT+0800 (Taiwan Standard Time),34.6,Thu Jul 20 2023 00:00:00 GMT+0800 (Taiwan Standard Time),1.5,0,0.0211,33.1,82500,1741,80749,0,55000,0.04243247503941146
7,Tue Sep 06 2022 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,34.65,173250,246.88125000000002,148.12875,0,-173398.12875,25000,,2024,Wed Jun 19 2024 00:00:00 GMT+0800 (Taiwan Standard Time),55.2,Mon Jul 15 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1.6,0,0.0211,53.6,99200,2093,97097,0,62000,0.02837102618045816
8,Tue Sep 06 2022 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,34.85,174250,248.30625,148.98375,0,-174398.98375,30000,,2025,Tue Jun 24 2025 00:00:00 GMT+0800 (Taiwan Standard Time),46,Tue Jul 15 2025 00:00:00 GMT+0800 (Taiwan Standard Time),2.53,0,0.0211,43.45,184690,3897,180783,0,73000,0.05383650982727814
9,Mon Sep 26 2022 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,32,160000,228,136.79999999999998,0,-160136.8,35000,,2026,,,,2,0,0.0211,43.45,0,0,0,0,#N/A,#N/A
