手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2610,-493821.85699999996,-493821.85699999996,225145.79674999998,19.1,0,0,225145.79674999998,0,0.09118502697218604,,,,
1,Wed Apr 28 2021 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,21.8,109000,155.32500000000002,93.19500000000001,0,-109093.195,5000,,,,,,,,,,,,,,,
2,Mon May 03 2021 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,20.6,61800.00000000001,88.06500000000001,52.839000000000006,0,-61852.83900000001,8000,,除權除息區,,,,,,,,,,,,,
3,Wed May 05 2021 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,18.2,54600,77.805,46.683,0,-54646.683,11000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Fri May 07 2021 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,17,51000,72.675,43.605,0,-51043.605,14000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Tue May 11 2021 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,16.4,49199.99999999999,70.10999999999999,42.06599999999999,0,-49242.06599999999,17000,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0,,0,0,0.0211,0,0,0,0,0,5000,0
6,Thu May 13 2021 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,15,75000,106.875,64.125,0,-75064.125,22000,,,,,,,,,,,,,,,
7,Tue May 25 2021 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,15.3,45900,65.4075,39.244499999999995,0,-45939.2445,25000,,,,,,,,,,,,,,,
8,Mon Nov 08 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,21,105000,149.625,89.77499999999999,315,104595.225,20000,,,,,,,,,,,,,,,
9,Tue Nov 09 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,21.55,107750,153.54375000000002,92.12625000000001,323.25,107334.62375,15000,,,,,,,,,,,,,,,
10,Tue Nov 16 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,29,145000,206.625,123.975,435,144441.025,10000,,,,,,,,,,,,,,,
11,Fri Dec 10 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-5000,賣,29.75,148750,211.96875,127.18124999999999,446.25,148176.56875,5000,,,,,,,,,,,,,,,
12,Mon Jan 24 2022 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,23.45,46900,66.8325,40.0995,0,-46940.0995,7000,,,,,,,,,,,,,,,
13,Thu Feb 17 2022 00:00:00 GMT+0800 (Taiwan Standard Time),-4000,賣,30.15,120600,171.85500000000002,103.11300000000001,361.8,120135.087,3000,,,,,,,,,,,,,,,
14,Fri Feb 18 2022 00:00:00 GMT+0800 (Taiwan Standard Time),-3000,賣,31.55,94650,134.87625,80.92575,283.95,94285.12425000001,0,,,,,,,,,,,,,,,
