手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2618,-285894.23075,-285894.23075,-3088.665249999962,36.05,0,0,-3088.665249999962,0,-0.0021607048466122025,,,,
1,Wed Apr 28 2021 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,19.45,97250,138.58125,83.14875,0,-97333.14875,5000,,,,,,,,,,,,,,,
2,Mon May 03 2021 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,18.6,93000,132.525,79.515,0,-93079.515,10000,,除權除息區,,,,,,,,,,,,,
3,Thu May 06 2021 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,16.9,50699.99999999999,72.24749999999999,43.348499999999994,0,-50743.34849999999,13000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Fri May 14 2021 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,14.9,44700,63.697500000000005,38.2185,0,-44738.2185,16000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Mon May 17 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-8000,賣,13.2,105600,150.48000000000002,90.28800000000001,316.8,105192.912,8000,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0,,0,0,0.0211,0,0,0,0,0,0,0
6,Mon Jun 21 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-4000,賣,22.1,88400,125.97,75.582,265.2,88059.21800000001,4000,,,,,,,,,,,,,,,
7,Fri Nov 05 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,21.5,43000,61.275000000000006,36.765,129,42834.235,2000,,,,,,,,,,,,,,,
8,Mon Nov 08 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,23.45,46900,66.8325,40.0995,140.70000000000002,46719.200500000006,0,,,,,,,,,,,,,,,
