手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2707,-3550533.112499999,-3396476.112499999,1417394.6000000015,173,0,0,1417394.6000000015,0,0.07984122694194432,,,,
1,Thu Jun 11 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,158,158000,225.15,135.09,0,-158135.09,1000,,,,,,,,,,,,,,,
2,Mon Jun 22 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,150,150000,213.75,128.25,0,-150128.25,2000,,除權除息區,,,,,,,,,,,,,
3,Thu Jul 02 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,150,150000,213.75,128.25,0,-150128.25,3000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Thu Jul 09 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,147.5,147500,210.1875,126.1125,0,-147626.1125,4000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Fri Jul 10 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,147,147000,209.475,125.68499999999999,0,-147125.685,5000,,2020,Thu Jul 16 2020 00:00:00 GMT+0800 (Taiwan Standard Time),147,Wed Sep 09 2020 00:00:00 GMT+0800 (Taiwan Standard Time),3.92,0,0.0191,143.08,19600,0,19590,0,5000,0.026653061224489797
6,Thu Jul 30 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,136,136000,193.8,116.28,0,-136116.28,6000,,2021,Thu Sep 23 2021 00:00:00 GMT+0800 (Taiwan Standard Time),147.5,Fri Oct 15 2021 00:00:00 GMT+0800 (Taiwan Standard Time),4.389,0,0.0211,143.11,13167,0,13157,0,3000,0.029733333333333334
7,Mon Aug 03 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,132.5,132500,188.8125,113.2875,0,-132613.2875,7000,,2022,Thu Jun 16 2022 00:00:00 GMT+0800 (Taiwan Standard Time),173.5,Thu Jul 07 2022 00:00:00 GMT+0800 (Taiwan Standard Time),12.3925,0,0.0211,161.1,123925,2615,121310,0,10000,0.0699193083573487
8,Thu Aug 20 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,130,130000,185.25,111.14999999999999,0,-130111.15,8000,,,,,,,,,,,,,,,
9,Wed Jan 20 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,128.5,128500,183.1125,109.8675,0,-128609.8675,9000,,,,,,,,,,,,,,,
