手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2731,-897862.525,-895872.525,-64113.91500000004,167.5,0,0,-64113.91500000004,0,-0.014281454724931312,,,,
1,Tue Jun 23 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,78,78000,111.15,66.69,0,-78066.69,1000,,,,,,,,,,,,,,,
2,Fri Jul 03 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,77,77000,109.72500000000001,65.83500000000001,0,-77065.835,2000,,除權除息區,,,,,,,,,,,,,
3,Thu Jul 30 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,68.5,68500,97,58,0,-68558,3000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Mon Aug 03 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,67.6,67600,96,57,0,-67657,4000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Fri Feb 26 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,94.5,189000,269.325,161.595,567,188271.405,2000,,2020,Wed Jul 01 2020 00:00:00 GMT+0800 (Taiwan Standard Time),78.5,Fri Jul 24 2020 00:00:00 GMT+0800 (Taiwan Standard Time),2,0,0.0191,76.5,2000,0,1990,0,1000,0.02535031847133758
6,Wed Mar 03 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,89,89000,126.825,76.095,267,88656.905,1000,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0,,0,0,0.0211,0,0,0,0,0,0,0
7,Wed Mar 03 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,90,90000,0,0,270,89730,0,,,,,,,,,,,,,,,
8,Thu Apr 01 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,92,184000,262,157,0,-184157,2000,,,,,,,,,,,,,,,
9,Wed Apr 14 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,89.4,89400,127,76,0,-89476,3000,,,,,,,,,,,,,,,
10,Fri Apr 23 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,87.5,87500,124,74,0,-87574,4000,,,,,,,,,,,,,,,
11,Thu Apr 29 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,84.3,84300,120,72,0,-84372,5000,,,,,,,,,,,,,,,
12,Mon May 03 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,81.8,81800,116,69,0,-81869,6000,,,,,,,,,,,,,,,
13,Tue May 04 2021 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,79,79000,112,67,0,-79067,7000,,,,,,,,,,,,,,,
14,Mon May 17 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-7000,賣,66.7,466900,665,399,1400.7,465100.3,0,,,,,,,,,,,,,,,
