手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2881,-2432710.0092999996,-2039477.0092999996,-1911462.2092999995,110,46125,5054190.69375,3142728.4844500003,50.54981837506492,0.32296579457021934,,,,
1,Tue Jan 25 2022 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,75.4,75400,107.44500000000001,64.467,0,-75464.467,1000,,,,,,,,,,,,,,,
2,Tue Mar 08 2022 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,70.5,70500,100.4625,60.2775,0,-70560.2775,2000,,除權除息區,,,,,,,,,,,,,
3,Wed May 11 2022 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,66.1,132200,188.38500000000002,113.031,0,-132313.031,4000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Thu May 12 2022 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,64.5,129000,183.82500000000002,110.295,0,-129110.295,6000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Mon May 16 2022 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,62.4,124800,177.84,106.704,0,-124906.704,8000,,2021,Fri Jun 11 2021 00:00:00 GMT+0800 (Taiwan Standard Time),82,Mon Jul 26 2021 00:00:00 GMT+0800 (Taiwan Standard Time),3,0,0.0191,79,0,0,0,0,0,0
6,Fri Jun 17 2022 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,60.9,121800,173.565,104.139,0,-121904.139,10000,,2022,Wed Jul 27 2022 00:00:00 GMT+0800 (Taiwan Standard Time),59.2,Thu Aug 25 2022 00:00:00 GMT+0800 (Taiwan Standard Time),3.5,0,0.0211,55.7,45500,960,44530,0,13000,0.05786122661122661
7,Tue Jun 28 2022 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,61.3,61300,87.3525,52.411500000000004,0,-61352.4115,11000,,2022,Thu Sep 22 2022 00:00:00 GMT+0800 (Taiwan Standard Time),56.5,Mon Oct 31 2022 00:00:00 GMT+0800 (Taiwan Standard Time),0,0.5,0.0211,53.8,0,0,0,1500,30000,0
8,Fri Jul 15 2022 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,57.5,115000,163.875,98.325,0,-115098.325,13000,,2023,Thu Jul 20 2023 00:00:00 GMT+0800 (Taiwan Standard Time),64.8,Fri Aug 18 2023 00:00:00 GMT+0800 (Taiwan Standard Time),1.5,0,0.0211,63.3,60000,1266,58724,0,40000,0.022655864197530864
9,Thu Jul 28 2022 00:00:00 GMT+0800 (Taiwan Standard Time),350,買,56.4,19740,28.1295,20,0,-19760,13350,,2023,Mon Sep 04 2023 00:00:00 GMT+0800 (Taiwan Standard Time),64.8,Fri Oct 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),0,0.5,0.0211,61.71,0,0,0,2000,40000,0
10,Mon Aug 29 2022 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,57.6,115200,164.16,98.496,0,-115298.496,15350,,2024,Fri Jul 19 2024 00:00:00 GMT+0800 (Taiwan Standard Time),89.9,Wed Aug 21 2024 00:00:00 GMT+0800 (Taiwan Standard Time),2.5,0,0.0211,87.4,105000,2216,102774,0,42000,0.02721913236929922
11,Thu Sep 01 2022 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,56.7,113400,161.595,96.957,0,-113496.957,17350,,2024,Mon Sep 09 2024 00:00:00 GMT+0800 (Taiwan Standard Time),92.5,Tue Oct 15 2024 00:00:00 GMT+0800 (Taiwan Standard Time),0,0.5,0.0211,88.09,0,0,0,2100,42000,0
