手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2884,-392083.84550000005,-392083.84550000005,-24328.92100000003,30.95,0,0,-24328.92100000003,0,-0.01034171699039478,,,,
1,Thu Jan 30 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,28.65,28650,40.82625,24.49575,0,-28674.49575,1000,,,,,,,,,,,,,,,
2,Fri Jan 31 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,28.05,28050,39.971250000000005,23.982750000000003,0,-28073.98275,2000,,除權除息區,,,,,,,,,,,,,
3,Mon Mar 09 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,28.15,28150,40,24,0,-28174,3000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Mon Mar 16 2020 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,25.75,51500,73,43,0,-51543,5000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Wed Mar 18 2020 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,22.9,45800,65.265,39.159,0,-45839.159,7000,,2020,Tue Jul 28 2020 00:00:00 GMT+0800 (Taiwan Standard Time),28.95,Wed Aug 26 2020 00:00:00 GMT+0800 (Taiwan Standard Time),0.791,0.797,0.0191,26.08,0,0,0,0,0,0
6,Fri Jun 12 2020 00:00:00 GMT+0800 (Taiwan Standard Time),-3000,賣,22.7,68100,97.0425,58.2255,204.3,67837.4745,4000,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0,,0,0,0.0211,0,0,0,0,0,0,0
7,Fri Jun 12 2020 00:00:00 GMT+0800 (Taiwan Standard Time),-4000,賣,22.75,91000,0,0,273,90727,0,,,,,,,,,,,,,,,
8,Tue Jul 28 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,26.45,26450,37.691250000000004,22.61475,0,-26472.61475,1000,,,,,,,,,,,,,,,
9,Tue Jul 28 2020 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,26.45,26450,37.691250000000004,22.61475,0,-26472.61475,2000,,,,,,,,,,,,,,,
10,Tue Jul 28 2020 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,26.65,53300,75.9525,45.5715,0,-53345.5715,4000,,,,,,,,,,,,,,,
11,Mon Sep 21 2020 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,26.05,52100,74.2425,44.545500000000004,0,-52144.5455,6000,,,,,,,,,,,,,,,
12,Tue Sep 22 2020 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,25.65,51300,73.1025,43.8615,0,-51343.8615,8000,,,,,,,,,,,,,,,
13,Wed Apr 14 2021 00:00:00 GMT+0800 (Taiwan Standard Time),-8000,賣,26.25,210000,299.25,179.54999999999998,630,209190.45,0,,,,,,,,,,,,,,,
