手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,2887,-1016956.2659999997,-932612.2659999997,57501.10740000033,23.35,0,0,57501.10740000033,0,0.00807748001454938,,,,
1,Mon Jul 23 2018 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,14.7,29400,41.895,25.137,0,-29425.137,2000,,,,,,,,,,,,,,,
2,Mon Jul 23 2018 00:00:00 GMT+0800 (Taiwan Standard Time),8000,買,14.95,119600,170.43,102.258,0,-119702.258,10000,,除權除息區,,,,,,,,,,,,,
3,Mon Aug 06 2018 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,14.95,14950,21,12,0,-14962,11000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Fri Aug 10 2018 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,15.05,45150,64,38,0,-45188,14000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Thu Aug 23 2018 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,14.55,14550,20.73375,20,0,-14570,15000,,2018,Wed Aug 22 2018 00:00:00 GMT+0800 (Taiwan Standard Time),15.35,Wed Aug 22 2018 00:00:00 GMT+0800 (Taiwan Standard Time),0.542,0.443,0.0191,14.17,7588,0,7578,620,14000,0.03526291298278269
6,Fri Sep 14 2018 00:00:00 GMT+0800 (Taiwan Standard Time),380,買,14.45,5491,20,20,0,-5511,15380,,2019,Mon Aug 12 2019 00:00:00 GMT+0800 (Taiwan Standard Time),14.3,Mon Aug 12 2019 00:00:00 GMT+0800 (Taiwan Standard Time),0.5084,0.208,0.0191,13.51,36075,689,35376,1475,70958,0.03486352707018453
7,Fri Sep 14 2018 00:00:00 GMT+0800 (Taiwan Standard Time),620,股利,0,0,0,0,0,0,16000,,2020,Tue Aug 11 2020 00:00:00 GMT+0800 (Taiwan Standard Time),13.85,Tue Aug 11 2020 00:00:00 GMT+0800 (Taiwan Standard Time),0.5655,0.2313,0.0191,12.98,42206,806,41390,1726,74636,0.04004029762352756
8,Mon Oct 08 2018 00:00:00 GMT+0800 (Taiwan Standard Time),350,買,14.5,5075,20,20,0,-5095,16350,,2021,Fri Dec 31 2021 00:00:00 GMT+0800 (Taiwan Standard Time),0,,0,0,0.0211,0,0,0,0,0,0,0
9,Tue Nov 06 2018 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,13.9,13900,20,20,0,-13920,17350,,,,,,,,,,,,,,,
10,Mon Dec 17 2018 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,13.4,26800,38.190000000000005,22.914,0,-26822.914,19350,,,,,,,,,,,,,,,
11,Mon Dec 17 2018 00:00:00 GMT+0800 (Taiwan Standard Time),650,買,13.45,8742.5,20,20,0,-8762.5,20000,,,,,,,,,,,,,,,
12,Tue Dec 25 2018 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,13.1,26200,37.335,22.401,0,-26222.401,22000,,,,,,,,,,,,,,,
13,Fri Dec 28 2018 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,13.1,26200,37.335,22.401,0,-26222.401,24000,,,,,,,,,,,,,,,
14,Fri Jan 04 2019 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,13.05,26100,37.1925,22.3155,0,-26122.3155,26000,,,,,,,,,,,,,,,
15,Mon Jan 21 2019 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,13.45,26900,38.3325,22.9995,0,-26922.9995,28000,,,,,,,,,,,,,,,
16,Mon Feb 11 2019 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,13.6,27200,38.76,23.255999999999997,0,-27223.256,30000,,,,,,,,,,,,,,,
