手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,3231,-1079620.3542499999,-1047190.3542499999,508343.26865,158.5,0,0,508343.26865,#DIV/0!,0.05885671600309216,,,,
1,Tue Feb 06 2018 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,23,46000,65.55,39.33,0,-46039.33,2000,,,,,,,,,,,,,,,
2,Wed Apr 25 2018 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,23.6,47200,67.26,40.356,0,-47240.356,4000,,除權除息區,,,,,,,,,,,,,
3,Tue May 15 2018 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,23.65,23650,33.70125,20.22075,0,-23670.22075,5000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Thu May 24 2018 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,23.2,23200,33,19,0,-23219,6000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Tue Jun 26 2018 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,22.7,45400,64,38,0,-45438,8000,,2018,Wed Aug 01 2018 00:00:00 GMT+0800 (Taiwan Standard Time),23.65,Wed Aug 01 2018 00:00:00 GMT+0800 (Taiwan Standard Time),1.17,0.29,0.0191,21.84,17550,0,17540,435,15000,0.04944326990838619
6,Wed Jun 27 2018 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,22.4,44800,63.84,38.304,0,-44838.304,10000,,2019,Mon Jul 22 2019 00:00:00 GMT+0800 (Taiwan Standard Time),25.3,Wed Aug 14 2019 00:00:00 GMT+0800 (Taiwan Standard Time),1.49,0,0.0191,23.81,14900,0,14890,0,10000,0.05885375494071146
7,Wed Jul 04 2018 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,22.15,44300,63.127500000000005,37.8765,0,-44337.8765,12000,,2020,Tue Jul 07 2020 00:00:00 GMT+0800 (Taiwan Standard Time),38.65,Fri Jul 31 2020 00:00:00 GMT+0800 (Taiwan Standard Time),2.04,0,0.0191,36.61,0,0,0,0,0,0
8,Thu Jul 05 2018 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,22,22000,0,0,0,-22000,13000,,2021,Thu Jun 17 2021 00:00:00 GMT+0800 (Taiwan Standard Time),29,Wed Aug 11 2021 00:00:00 GMT+0800 (Taiwan Standard Time),2.2,0,0.0211,26.8,0,0,0,0,0,0
9,Wed Jul 11 2018 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,21.75,43500,61.987500000000004,37.1925,0,-43537.1925,15000,,2022,Wed Jul 06 2022 00:00:00 GMT+0800 (Taiwan Standard Time),25.9,Fri Jul 29 2022 00:00:00 GMT+0800 (Taiwan Standard Time),2.2,0,0.0211,23.7,0,0,0,0,0,0
10,Wed Aug 01 2018 00:00:00 GMT+0800 (Taiwan Standard Time),440,股利,0,0,0,0,0,0,15440,,,,,,,,,,,,,,,
11,Tue Aug 14 2018 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,21.75,43500,61.987500000000004,37.1925,0,-43537.1925,17440,,,,,,,,,,,,,,,
