手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,5876,-1408005.98125,-1302896.98125,595721.3351499999,39.75,0,0,595721.3351499999,0,0.04701063798205446,,,,
1,Mon Aug 15 2016 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,28,84000,119.7,71.82,0,-84071.82,3000,,,,,,,,,,,,,,,
2,Mon Aug 15 2016 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,28,56000,79.8,47.879999999999995,0,-56047.88,5000,,除權除息區,,,,,,,,,,,,,
3,Tue Aug 30 2016 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,27.28,54560,77,46,0,-54606,7000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Thu Sep 01 2016 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,27.67,83010,118,70,0,-83080,10000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Tue Oct 04 2016 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,27.1,54200,77.235,46.341,0,-54246.341,12000,,2016,Thu Aug 11 2016 00:00:00 GMT+0800 (Taiwan Standard Time),29.19,Wed Aug 31 2016 00:00:00 GMT+0800 (Taiwan Standard Time),1.5,0,0.0191,27.69,0,0,0,0,0,0
6,Tue Oct 04 2016 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,27.1,27100,38.6175,23.1705,0,-27123.1705,13000,,2017,Mon Jul 10 2017 00:00:00 GMT+0800 (Taiwan Standard Time),31.48,Mon Jul 10 2017 00:00:00 GMT+0800 (Taiwan Standard Time),1.5,0,0.0191,29.98,31500,602,30888,0,21000,0.04672354329279361
7,Tue Nov 01 2016 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,26.4,52800,0,0,0,-52800,15000,,2018,Fri Jul 20 2018 00:00:00 GMT+0800 (Taiwan Standard Time),37.32,Fri Jul 20 2018 00:00:00 GMT+0800 (Taiwan Standard Time),1.8,0,0.0191,35.52,54000,1031,52959,0,30000,0.04730171489817792
8,Thu Jan 12 2017 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,27.15,27150,38.68875,23.21325,0,-27173.21325,16000,,2019,Mon Jul 08 2019 00:00:00 GMT+0800 (Taiwan Standard Time),57.4,Mon Jul 08 2019 00:00:00 GMT+0800 (Taiwan Standard Time),2,0,0.0191,55.4,20000,382,19608,0,10000,0.0341602787456446
9,Tue May 09 2017 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,29.81,29810,42.47925,25.48755,0,-29835.48755,17000,,2020,Thu Jul 16 2020 00:00:00 GMT+0800 (Taiwan Standard Time),47.75,Fri Aug 07 2020 00:00:00 GMT+0800 (Taiwan Standard Time),2.05,0,0.0191,45.7,1664,0,1654,0,812,0.0426585510535682
