手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,6115,-2037240.3524999998,-1821902.3524999998,426894.9850000001,47.5,0,0,426894.9850000001,#DIV/0!,0.06984857145535722,,,,
1,Tue May 09 2023 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,45.4,90800,129.39000000000001,77.634,0,-90877.634,2000,,,,,,,,,,,,,,,
2,Thu May 11 2023 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,45.3,90600,129.10500000000002,77.46300000000001,0,-90677.463,4000,,除權除息區,,,,,,,,,,,,,
3,Mon May 22 2023 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,45.6,91200,129.96,77.976,0,-91277.976,6000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Mon May 29 2023 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,45.75,91500,130.38750000000002,78.2325,0,-91578.2325,8000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Thu Jun 15 2023 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,46.35,92700,132.0975,79.2585,0,-92779.2585,10000,,2023,Fri Jul 07 2023 00:00:00 GMT+0800 (Taiwan Standard Time),47,Thu Aug 03 2023 00:00:00 GMT+0800 (Taiwan Standard Time),3.2,0,0.0211,43.8,112000,2363,109627,0,35000,0.06664255319148936
6,Wed Jun 28 2023 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,46.55,139650,199.00125,119.40074999999999,0,-139769.40075,13000,,2024,Fri Jul 05 2024 00:00:00 GMT+0800 (Taiwan Standard Time),59.4,Fri Aug 02 2024 00:00:00 GMT+0800 (Taiwan Standard Time),3,0,0.0211,56.4,108000,2279,105711,0,36000,0.049434624017957354
7,Mon Jul 03 2023 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,46.55,232750,331.66875,199.00125,0,-232949.00125,18000,,2025,Sat Jul 05 2025 00:00:00 GMT+0800 (Taiwan Standard Time),59.4,Sat Aug 02 2025 00:00:00 GMT+0800 (Taiwan Standard Time),0,0,0.0211,59.4,0,0,0,0,0,0
8,Tue Jul 04 2023 00:00:00 GMT+0800 (Taiwan Standard Time),5000,買,46.85,234250,333.80625000000003,200.28375000000003,0,-234450.28375,23000,,,,,,,,,,,,,,,
9,Wed Jul 05 2023 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,47.05,47050,67.04625,40.22775,0,-47090.22775,24000,,,,,,,,,,,,,,,
10,Wed Jul 05 2023 00:00:00 GMT+0800 (Taiwan Standard Time),11000,買,47,517000,736.725,442.035,0,-517442.035,35000,,,,,,,,,,,,,,,
11,Mon Nov 13 2023 00:00:00 GMT+0800 (Taiwan Standard Time),3000,買,45.1,135300,192.8025,115.6815,0,-135415.6815,38000,,,,,,,,,,,,,,,
12,Tue Jun 18 2024 00:00:00 GMT+0800 (Taiwan Standard Time),-2000,賣,58,116000,165.3,99.18,348,115552.82,36000,,,,,,,,,,,,,,,
