手動輸入,,,,,自動代入區,,,,,,,股票代號,總投入成本,"扣除
股息成本","扣除
賣出成本",目前市價,剩餘股數,"剩餘庫存
目前市值","目前
淨獲利",每股成本,年報酬率,,,,
序號,交易日期,股數,類別,交易價格,成交金額,手續費,"折讓
手續費",交易稅,給付金額,剩餘庫存,,6605,-4965742.0825000005,-4713206.0825000005,-3419711.8000000007,146,20000,2908743.4,-510968.40000000084,198.6296833,-0.051449349514217424,,,,
1,Fri Sep 22 2023 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,127.5,127500,181.6875,109.0125,0,-127609.0125,1000,,,,,,,,,,,,,,,
2,Tue Oct 31 2023 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,130,130000,185.25,111.14999999999999,0,-130111.15,2000,,除權除息區,,,,,,,,,,,,,
3,Wed Dec 20 2023 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,151,151000,215.175,129.105,0,-151129.105,3000,,手動輸入區,,,,,,,自動代入區,,,,,,
4,Fri Dec 22 2023 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,148,296000,421.8,253.07999999999998,0,-296253.08,5000,,年度,除權息日,除息前參考價,股利發放日,現金股利,股票股利,補充健保費率,除息參考價,總計股息,補充健保費,實領,配發股數,當下股數,殖利率
5,Mon Jan 08 2024 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,146,292000,416.1,249.66,0,-292249.66,7000,,2024,Fri Jul 12 2024 00:00:00 GMT+0800 (Taiwan Standard Time),252.5,Fri Aug 02 2024 00:00:00 GMT+0800 (Taiwan Standard Time),6.5,0,0.0211,246,78000,1646,76344,0,11000,0.027486588658865888
6,Mon Jan 08 2024 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,143.5,287000,408.975,245.385,0,-287245.385,9000,,2025,Thu Jul 10 2025 00:00:00 GMT+0800 (Taiwan Standard Time),193,Thu Jul 31 2025 00:00:00 GMT+0800 (Taiwan Standard Time),9,0,0.0211,184,180000,3798,176192,0,20000,0.04564559585492228
7,Fri Mar 08 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,154,154000,219.45000000000002,131.67000000000002,0,-154131.67,10000,,2026,,,,6.5,0,0.0211,-6.5,0,0,0,0,#N/A,#N/A
8,Mon May 27 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,212,212000,302.1,181.26000000000002,0,-212181.26,11000,,,,,,,,,,,,,,,
9,Mon Jun 03 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,212,212000,302.1,181.26000000000002,0,-212181.26,12000,,,,,,,,,,,,,,,
10,Wed Jun 12 2024 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,240,240000,342,205.2,720,239074.8,11000,,,,,,,,,,,,,,,
11,Thu Jul 04 2024 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,252.5,252500,359.8125,215.8875,757.5,251526.6125,10000,,,,,,,,,,,,,,,
12,Tue Jul 09 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,240,240000,342,205.2,0,-240205.2,11000,,,,,,,,,,,,,,,
13,Tue Jul 16 2024 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,266,266000,379.05,227.43,798,264974.57,10000,,,,,,,,,,,,,,,
14,Tue Jul 09 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,258,258000,367.65000000000003,220.59,0,-258220.59,11000,,,,,,,,,,,,,,,
15,Mon Aug 05 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,245,245000,349.125,209.475,0,-245209.475,12000,,,,,,,,,,,,,,,
16,Mon Aug 12 2024 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,242,484000,689.7,413.82,0,-484413.82,14000,,,,,,,,,,,,,,,
17,Mon Aug 12 2024 00:00:00 GMT+0800 (Taiwan Standard Time),2000,買,238.5,477000,679.725,407.835,0,-477407.835,16000,,,,,,,,,,,,,,,
18,Tue Aug 20 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,238,238000,339.15000000000003,203.49,0,-238203.49,17000,,,,,,,,,,,,,,,
19,Tue Sep 10 2024 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,265,265000,377.625,226.575,795,263978.425,16000,,,,,,,,,,,,,,,
20,Mon Sep 23 2024 00:00:00 GMT+0800 (Taiwan Standard Time),-1000,賣,275,275000,391.875,235.125,825,273939.875,15000,,,,,,,,,,,,,,,
21,Mon Oct 07 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,257,257000,366.225,219.735,0,-257219.735,16000,,,,,,,,,,,,,,,
22,Wed Oct 16 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,237,237000,337.725,202.63500000000002,0,-237202.635,17000,,,,,,,,,,,,,,,
23,Thu Nov 14 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,221.5,221500,315.6375,189.3825,0,-221689.3825,18000,,,,,,,,,,,,,,,
24,Wed Dec 11 2024 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,225.5,225500,321.33750000000003,192.8025,0,-225692.8025,19000,,,,,,,,,,,,,,,
25,Tue Feb 18 2025 00:00:00 GMT+0800 (Taiwan Standard Time),1000,買,217,217000,309.225,185.535,0,-217185.535,20000,,,,,,,,,,,,,,,
