股票名稱,股票代號,總投入成本,扣除股息成本,扣除賣出成本,目前市價,剩餘股數,剩餘庫存目前市值,目前總獲利,每股成本,年報酬率,市值比重
Uni-President Taiwan Elite 50 Active ETF,00403A,-500000,-500000,-500000,10.7,50000,532937.575,32937.57499999995,10,0.06587514999999991,0.022823107479132323
Cathay U.S. Treasury 20+ Year Bond ETF,00687B,-1110648.7935,-1110648.7935,-1110648.7935,27.81,40000,1108111.698,-2537.095499999821,27.7662198375,-0.002284336430065029,0.047454999551003366
Cathay Cyber Security ETF,00875,-120743.1472,-120743.1472,4104.829399999988,46.82,0,0,4104.829399999988,0,0.00679927514760024,0
Cathay MSCI Taiwan ESG Sustain Hi Div Yield ETF,00878,-857714.8724499999,-811204.8724499999,273065.41440999997,30.76,0,0,273065.41440999997,#DIV/0!,0.10612128543759092,0
Cathay Taiwan Technology Leader ETF,00881,-177101.29225,-177101.29225,-355.4910000000091,54.9,0,0,-355.4910000000091,0,-0.0004014550040642169,0
Qun Yi ESG 20+ Year US Senior Corporate Bond ETF,00937B,-1035134.2837500001,-1035134.2837500001,-1035134.2837500001,14.85,70000,1035492.7275,358.4437499999767,14.787632625,0.0003462775367669554,0.04434508453188421
TCC Group Holdings Co Ltd,1101,-104889.604,-104889.604,-2087.440000000017,24.4,0,0,-2087.440000000017,0,-0.003980260998983306,0
Standard Foods Corp,1227,-568685.811,-568685.811,3101.4189999999944,27.95,0,0,3101.4189999999944,0,0.0010907319788922936,0
Taita Chemical Co Ltd,1309,-93379.7715,-93379.7715,2648.6064999999944,15.7,0,0,2648.6064999999944,0,0.005672762863850002,0
Formosa Chemicals and Fibre Corp,1326,-148326.711,-144536.711,26800.228999999992,49.9,0,0,26800.228999999992,0,0.036136753548051084,0
Asia Cement Corp,1102,-3546943.7234299993,-3078903.7234299993,-2726666.8514299993,34,73000,2472431.89,-254234.9614299992,42.73426172807228,-0.023892396877777968,0.10588215469758212
Far Eastern New Century Corp,1402,-2181263.387,-2007880.387,-1908963.1885000002,25.65,66000,1686373.8705,-222589.3180000002,31.612512855072467,-0.05102302622567244,0.07221913766621142
Allis Electric Co Ltd,1514,-27423.427,-27423.427,-4811.526999999998,125.5,0,0,-4811.526999999998,0,-0.03509063254566979,0
Taiwan Fertilizer Co Ltd,1722,-4315436.546250001,-3217673.5462500006,649709.9944999991,46.6,0,0,649709.9944999991,#DIV/0!,0.02150783877952145,0
