西元,年紀,年初總資產(A),可借貸(B),當年度總資產(A+B),當年度存款,當年度股利,,股利報酬,股票維持率
2022,42,8000000,2960000,10960000,558000,518214,,0.04,2.5
2023,43,11041055,4124000,15165055,205000,1026600,,,
2024,44,22236457,3732000,25968457,203000,1197871,,,
2025,45,28055800,406320,28462120,0,1447822,,,
2026,46,23269233,0,23269233,500000,930769.3200000001,,,
2027,47,24700002.32,0,24700002.32,500000,988000.0928,,,
2028,48,26188002.4128,0,26188002.4128,500000,1047520.096512,,,
2029,49,27735522.509312,0,27735522.509312,500000,1109420.90037248,,,
2030,50,29344943.40968448,515657,29860600.40968448,500000,1173797.7363873792,,,
2031,51,31534398.14607186,875782,32410180.14607186,0,1261375.9258428745,,,
2032,52,33671556.07191473,854863,34526419.07191473,0,1346862.2428765893,,,
2033,53,35873281.31479132,880690,36753971.31479132,0,1434931.2525916528,,,
2034,54,38188902.56738298,926249,39115151.56738298,0,1527556.102695319,,,
2035,55,40642707.67007829,981522,41624229.67007829,0,1625708.3068031317,,,
2036,56,43249937.97688142,1042892,44292829.97688142,0,1729997.519075257,,,
2037,57,46022827.49595668,1109155,47131982.49595668,0,1840913.0998382673,,,
2038,58,48972895.595794946,1180028,50152923.595794946,0,1958915.8238317978,,,
2039,59,52111839.41962674,1255577,53367416.41962674,0,2084473.5767850697,,,
2040,60,55451889.996411815,1336020,56787909.996411815,0,2218075.5998564726,,,
